wupin	ipa
ho bi40	xo bi4
ho ciah men tsy	xo ʨiɑʔ mən ʦɿ
ho cioe	xo ʨiø
ho de	xo dᴇ
ho deu	xo døʏ
ho ghon	xo ɦoŋ
ho gnieu	xo ȵiʏ
ho gnin	xo ȵin
ho gnin mie	xo ȵin miɪ
ho gniu deu440	xo ȵy døʏ44
ho iau mie	xo iæ miɪ
ho ji miq ciuq	xo ʥi miəʔ ʨyəʔ
ho jiau40	xo ʥiæ4
ho ka	xo kɑ
ho kou gnian	xo kəu ȵiã
ho lie40	xo liɪ4
ho lou syu	xo ləu sʮ
ho mi40	xo mi4
ho nau	xo næ
ho pin ha tsian	xo pin xɑ ʦiã
ho se	xo sᴇ
ho sen	xo sən
ho sen daon	xo sən dɑ̃
ho sen mi440	xo sən mi44
ho shie40	xo ɕiɪ4
ho sin	xo sin
ho syu	xo sʮ
ho te	xo tᴇ
ho thin	xo tʰin
ho tshau	xo ʦʰæ
ho tsiau	xo ʦiæ
ho tsy	xo ʦɿ
ho tsy sian	xo ʦɿ siã
ho tsy tsian yeu	xo ʦɿ ʦiã ɦiʏ
ho yoh thaon	xo ɦioʔ tʰɑ̃
ho zah hue	xo zɑʔ xuᴇ
ho zian	xo ziã
ho zo	xo zo
ho1	xo44
ho44	xo44
ho5	xo523
ho523	xo523
hoe laon deu	xø lɑ̃ døʏ
hoe tsy	xø ʦɿ
hoe1	xø44
hoe5	xø523
hoh43	xoʔ43
hon ciaq lou	xoŋ ʨiɑʔ ləu
hon da pin	xoŋ dɑ pin
hon hou	xoŋ xəu
hon kau	xoŋ kæ
hon san nen440 liq chi le2[51]0	xoŋ sã nən44 liəʔ ʨʰi lᴇ51
hon1	xoŋ44
hon44	xoŋ44
hon5	xoŋ523
hoq ghou yoq4[23]0	xoʔ ɦəu ɦioʔ23
hoq gnioq44	xoʔ ȵioʔ44
hoq shie5[51]	xoʔ ɕiɪ51
hoq yoq	xoʔ ɦioʔ
hoq yoq44	xoʔ ɦioʔ44
hoq43 lan yoq23	xoʔ43 lã ɦioʔ23
hoq7	xoʔ43
hou baq nge	xəu bɑʔ ŋᴇ
hou ci mie	xəu ʨi miɪ
hou ci[52]1	xəu ʨi52
hou dau gnioq	xəu dæ ȵioʔ
hou ghon[52]3	xəu ɦoŋ52
hou kaeq[52]3	xəu kaʔ52
hou kheu	xəu kʰøʏ
hou lou	xəu ləu
hou nga	xəu ŋɑ
hou pih ci	xəu piəʔ ʨi
hou sau yan me	xəu sæ ɦiã mᴇ
hou seq tsho440	xəu səʔ ʦʰo44
hou tau	xəu tæ
hou te tie	xəu tᴇ tiɪ
hou the	xəu tʰᴇ
hou the tson	xəu tʰᴇ ʦoŋ
hou tsaon don die[52]340	xəu ʦɑ̃ doŋ diɪ52
hou tshaq li[52]30	xəu ʦʰɑʔ li52
hou tsho[52]3	xəu ʦʰo52
hou waon[52]3	xəu ɦuɑ̃52
hou yeu	xəu ɦiʏ
hou zaq	xəu zɑʔ
hou zeq	xəu zəʔ
hou zy pie paon[52]340	xəu zɿ piɪ pɑ̃52
hou1	xəu44
hou3	xəu51
hou5	xəu523
hua hua tsyu	xuɑ xuɑ ʦʮ
hua tsyu	xuɑ ʦʮ
hua1	xuɑ44
hua44 ciaq[43]	xuɑ44 ʨiɑʔ43
huaeq hou thiau	xuaʔ xəu tʰiæ
huaeq hou thiau5[51]0	xuaʔ xəu tʰiæ51
huaeq iq da	xuaʔ iəʔ dɑ
huaeq jioe	xuaʔ ʥiø
huaeq lin tsy	xuaʔ lin ʦɿ
huaeq nge sau	xuaʔ ŋᴇ sæ
huaeq phu bi tse	xuaʔ pʰu bi ʦᴇ
huaeq pie4[23]	xuaʔ piɪ23
huaeq se tsie	xuaʔ sᴇ ʦiɪ
huaeq syu mie	xuaʔ sʮ miɪ
huaeq syu4[51]	xuaʔ sʮ51
huaeq tsyu	xuaʔ ʦʮ
huaeq43	xuaʔ43
huaeq7	xuaʔ43
huaeq[43] jioe223	xuaʔ43 ʥiø223
huaeq[43] lin tsy23	xuaʔ43 lin ʦɿ23
huaon di	xuɑ̃ di
huaon1	xuɑ̃44
huaon3	xuɑ̃51
huaon44	xuɑ̃44
huaon5	xuɑ̃523
hue baq	xuᴇ bɑʔ
hue bo	xuᴇ bo
hue di pih	xuᴇ di piəʔ
hue kuoe	xuᴇ kuø
hue mau loq thoq4440	xuᴇ mæ loʔ tʰoʔ444
hue ngou	xuᴇ ŋəu
hue thaon syu	xuᴇ tʰɑ̃ sʮ
hue thaon tson	xuᴇ tʰɑ̃ ʦoŋ
hue zen baq bon4440	xuᴇ zən bɑʔ boŋ444
hue zen40	xuᴇ zən4
hue1	xuᴇ44
hue3	xuᴇ51
hue5	xuᴇ523
huen deu kheq tshon4440	xuən døʏ kʰəʔ ʦʰoŋ444
huen deu tshiq tshon4440	xuən døʏ ʦʰiəʔ ʦʰoŋ444
huen siau tshe440	xuən siæ ʦʰᴇ44
huen tshe	xuən ʦʰᴇ
huen yeu40	xuən ɦiʏ4
huen1	xuən44
huen5	xuən523
hueq7	xuəʔ43
huoe shi	xuø ɕi
huoe shi doe	xuø ɕi dø
huoe syu pu	xuø sʮ pu
huoe1	xuø44
huoe3	xuø51
i syu40	i sʮ4
i zaon kuoe440	i zɑ̃ kuø44
i zaon tie	i zɑ̃ tiɪ
i zaon40	i zɑ̃4
i zi40	i zi4
i zie40	i ziɪ4
i1	i44
i3	i51
i5	i523
ia deu40	iɑ døʏ4
ia ghou sian440	iɑ ɦəu siã44
ia ghou40	iɑ ɦəu4
ia ia ghou440	iɑ iɑ ɦəu44
ia ia ghou[52]30	iɑ iɑ ɦəu52
ia khua tie	iɑ kʰuɑ tiɪ
ia khua[52]3	iɑ kʰuɑ52
ia le shian	iɑ lᴇ ɕiã
ia li	iɑ li
ia li shian	iɑ li ɕiã
ia phie ie ciu	iɑ pʰiɪ iɪ ʨy
ia sou daon	iɑ səu dɑ̃
ia tie sin	iɑ tiɪ sin
ia yau	iɑ ɦiæ
ia1	iɑ44
ia3	iɑ51
ia5	iɑ523
iaeq7	iaʔ43
ian	iã
ian hue	iã xuᴇ
ian shie	iã ɕiɪ
ian tsie	iã ʦiɪ
ian1	iã44
iaq tsaq mo dau4420	iɑʔ ʦɑʔ mo dæ442
iaq7	iɑʔ43
iau cin	iæ ʨin
iau cin feq saeq4440	iæ ʨin fəʔ saʔ444
iau cin iau me	iæ ʨin iæ mᴇ
iau gni se440	iæ ȵi sᴇ44
iau hau khoe	iæ xæ kʰø
iau hau40	iæ xæ4
iau ho mie	iæ xo miɪ
iau kou pau	iæ kəu pæ
iau men	iæ mən
iau mo don	iæ mo doŋ
iau nge li	iæ ŋᴇ li
iau nge li shian	iæ ŋᴇ li ɕiã
iau nge40	iæ ŋᴇ4
iau tsy40	iæ ʦɿ4
iau1	iæ44
iau3	iæ51
iau3 si tse51	iæ51 si ʦᴇ51
iau44	iæ44
iau5	iæ523
iau523	iæ523
ie chi40	iɪ ʨʰi4
ie cin	iɪ ʨin
ie dau dau[52]30	iɪ dæ dæ52
ie feq tou tie4440	iɪ fəʔ təu tiɪ444
ie gnin zo	iɪ ȵin zo
ie keq poe	iɪ kəʔ pø
ie kuoe	iɪ kuø
ie me	iɪ mᴇ
ie mo[52]3	iɪ mo52
ie toq sie	iɪ toʔ siɪ
ie tshon40	iɪ ʦʰoŋ4
ie tsoe mau	iɪ ʦø mæ
ie tsy	iɪ ʦɿ
ie tsy tie	iɪ ʦɿ tiɪ
ie tsyu	iɪ ʦʮ
ie1	iɪ44
ie3	iɪ51
ie44	iɪ44
ie5	iɪ523
ie51	iɪ51
ie523	iɪ523
ieu ghoq jion lin	iʏ ɦoʔ ʥioŋ lin
ieu tau	iʏ tæ
ieu tsyu yoe[52]32	iʏ ʦʮ ɦiø52
ieu1	iʏ44
ieu3	iʏ51
ih khou	iəʔ kʰəu
ih saon ngeu	iəʔ sɑ̃ ŋøʏ
ih tsan phiau tsy	iəʔ ʦã pʰiæ ʦɿ
in deu li	in døʏ li
in deu40	in døʏ4
in doq saon ghoe	in doʔ sɑ̃ ɦø
in ho	in xo
in ho nou	in xo nəu
in keu	in køʏ
in keu don	in køʏ doŋ
in koe	in kø
in liq	in liəʔ
in liq40	in liəʔ4
in se pe gheu4440	in sᴇ pᴇ ɦøʏ444
in shiuq	in ɕyəʔ
in syu	in sʮ
in tiau	in tiæ
in tsau beq deu4440	in ʦæ bəʔ døʏ444
in tsau40	in ʦæ4
in tsy thie	in ʦɿ tʰiɪ
in ven	in vən
in yan	in ɦiã
in yan kua chi4440	in ɦiã kuɑ ʨʰi444
in yan sie san	in ɦiã siɪ sã
in zeu	in zøʏ
in zia[52]1	in ziɑ52
in1	in44
in3	in51
in44	in44
in5	in523
io1	io44
ioe ian	iø iã
ioe ian syu	iø iã sʮ
ioe ka	iø kɑ
ioe ka te deu	iø kɑ tᴇ døʏ
ioe ka tshiq syu4440	iø kɑ ʦʰiəʔ sʮ444
ioe uaon	iø uɑ̃
ioe uaon gniq tsan	iø uɑ̃ ȵiəʔ ʦã
ioe waon gnie tsan4440	iø ɦuɑ̃ ȵiɪ ʦã444
ioe1	iø44
ioe5	iø523
ion1	ioŋ44
ion3	ioŋ51
ioq7	ioʔ43
iq au chioe5[523]	iəʔ æ ʨʰiø523
iq ba	iəʔ bɑ
iq ba lie chie4[23]40	iəʔ bɑ liɪ ʨʰiɪ23
iq ba syu	iəʔ bɑ sʮ
iq ba tsy de	iəʔ bɑ ʦɿ dᴇ
iq ba zou we	iəʔ bɑ zəu ɦuᴇ
iq ban	iəʔ bã
iq ban tshe	iəʔ bã ʦʰᴇ
iq be	iəʔ bᴇ
iq be tie	iəʔ bᴇ tiɪ
iq boe	iəʔ bø
iq boe ji	iəʔ bø ʥi
iq boe kau	iəʔ bø kæ
iq boe loq in ta	iəʔ bø loʔ in tɑ
iq boe men zon shian	iəʔ bø mən zoŋ ɕiã
iq bon	iəʔ boŋ
iq bon ho	iəʔ boŋ xo
iq bu	iəʔ bu
iq bu ci chi	iəʔ bu ʨi ʨʰi
iq bu tsho tsy	iəʔ bu ʦʰo ʦɿ
iq chi seu5[52]3	iəʔ ʨʰi søʏ52
iq chioe	iəʔ ʨʰiø
iq ci	iəʔ ʨi
iq ci gni kuaon	iəʔ ʨi ȵi kuɑ̃
iq ciaq loq seu4420	iəʔ ʨiɑʔ loʔ søʏ442
iq ciaq tseu440	iəʔ ʨiɑʔ ʦøʏ44
iq cin poe	iəʔ ʨin pø
iq cin4[523]	iəʔ ʨin523
iq cioe	iəʔ ʨiø
iq cioe ko mie	iəʔ ʨiø ko miɪ
iq cioe ti phie	iəʔ ʨiø ti pʰiɪ
iq ciu	iəʔ ʨy
iq ciu ciu tsy	iəʔ ʨy ʨy ʦɿ
iq ciu ghe gho	iəʔ ʨy ɦᴇ ɦo
iq ciu lian teq	iəʔ ʨy liã təʔ
iq ciu syu	iəʔ ʨy sʮ
iq da	iəʔ dɑ
iq da lou5[523]	iəʔ dɑ ləu523
iq dau	iəʔ dæ
iq dau min lin	iəʔ dæ min lin
iq dau sen tsyu	iəʔ dæ sən ʦʮ
iq dau tie sin	iəʔ dæ tiɪ sin
iq dau tshe	iəʔ dæ ʦʰᴇ
iq diau	iəʔ diæ
iq diau ghou	iəʔ diæ ɦəu
iq diau kau	iəʔ diæ kæ
iq diau khou tsy	iəʔ diæ kʰəu ʦɿ
iq diau lou	iəʔ diæ ləu
iq diau min	iəʔ diæ min
iq diau ng	iəʔ diæ ŋ
iq din tau	iəʔ din tæ
iq doe	iəʔ dø
iq doe koe tso	iəʔ dø kø ʦo
iq doe lou	iəʔ dø ləu
iq doe meq	iəʔ dø məʔ
iq doe moq deu	iəʔ dø moʔ døʏ
iq dou bi	iəʔ dəu bi
iq dou bi chi	iəʔ dəu bi ʨʰi
iq dou bi ghoq ven	iəʔ dəu bi ɦoʔ vən
iq dou poe	iəʔ dəu pø
iq fon	iəʔ foŋ
iq fon sin	iəʔ foŋ sin
iq foq	iəʔ foʔ
iq foq gho	iəʔ foʔ ɦo
iq foq te bi	iəʔ foʔ tᴇ bi
iq foq zy	iəʔ foʔ zɿ
iq fu	iəʔ fu
iq fu chioe	iəʔ fu ʨʰiø
iq fu khou sian	iəʔ fu kʰəu siã
iq fu nge cin	iəʔ fu ŋᴇ ʨin
iq fu seu thau	iəʔ fu søʏ tʰæ
iq ghaon	iəʔ ɦɑ̃
iq ghaon zy	iəʔ ɦɑ̃ zɿ
iq ghau	iəʔ ɦæ
iq ghou si sy4[23]40	iəʔ ɦəu si sɿ23
iq gnie	iəʔ ȵiɪ
iq gnie tau deu	iəʔ ȵiɪ tæ døʏ
iq gniq	iəʔ ȵiəʔ
iq gniq tau ia	iəʔ ȵiəʔ tæ iɑ
iq gniq thie	iəʔ ȵiəʔ tʰiɪ
iq haq	iəʔ xɑʔ
iq ia thie5[52]3	iəʔ iɑ tʰiɪ52
iq iq teq iq	iəʔ iəʔ təʔ iəʔ
iq jie	iəʔ ʥiɪ
iq jie han li	iəʔ ʥiɪ xã li
iq jiu	iəʔ ʥy
iq jiu sou	iəʔ ʥy səu
iq jiuq	iəʔ ʥyəʔ
iq jiuq sou	iəʔ ʥyəʔ səu
iq ka deu	iəʔ kɑ døʏ
iq ka men4[23]0	iəʔ kɑ mən23
iq kaon	iəʔ kɑ̃
iq kaon mi	iəʔ kɑ̃ mi
iq kaon syu	iəʔ kɑ̃ sʮ
iq ke	iəʔ kᴇ
iq ke vaon ke	iəʔ kᴇ vɑ̃ kᴇ
iq ken	iəʔ kən
iq ken deu faeq	iəʔ kən døʏ faʔ
iq ken moq deu	iəʔ kən moʔ døʏ
iq ken sie	iəʔ kən siɪ
iq ken yeu diau	iəʔ kən ɦiʏ diæ
iq ken zen	iəʔ kən zən
iq keq	iəʔ kəʔ
iq keq beq deu	iəʔ kəʔ bəʔ døʏ
iq keq don pe	iəʔ kəʔ doŋ pᴇ
iq keq gnin	iəʔ kəʔ ȵin
iq keq mo don	iəʔ kəʔ mo doŋ
iq keq ngeq	iəʔ kəʔ ŋəʔ
iq keq poe4[23]0	iəʔ kəʔ pø23
iq keq44	iəʔ kəʔ44
iq keq44 beq le ho2[51]0	iəʔ kəʔ44 bəʔ lᴇ xo51
iq keq44 deq deu nge2[51]0	iəʔ kəʔ44 dəʔ døʏ ŋᴇ51
iq keq44 don die23	iəʔ kəʔ44 doŋ diɪ23
iq keq44 don pe23	iəʔ kəʔ44 doŋ pᴇ23
iq keq44 ghau deu23	iəʔ kəʔ44 ɦæ døʏ23
iq keq44 li pa[23]1	iəʔ kəʔ44 li pɑ23
iq keq44 phi deu40	iəʔ kəʔ44 pʰi døʏ4
iq keq44 vaon yin ie[23]10	iəʔ kəʔ44 vɑ̃ ɦin iɪ23
iq keu4[23]	iəʔ køʏ23
iq khau pe4[23]0	iəʔ kʰæ pᴇ23
iq kheq	iəʔ kʰəʔ
iq kheu	iəʔ kʰøʏ
iq kheu chi	iəʔ kʰøʏ ʨʰi
iq kheu nga tsy	iəʔ kʰøʏ ŋɑ ʦɿ
iq kheu sou	iəʔ kʰøʏ səu
iq kheu sou baq	iəʔ kʰøʏ səu bɑʔ
iq kheu tsin	iəʔ kʰøʏ ʦin
iq kheu tson	iəʔ kʰøʏ ʦoŋ
iq kheu ve	iəʔ kʰøʏ vᴇ
iq kho	iəʔ kʰo
iq khou	iəʔ kʰəu
iq khou baq tshe	iəʔ kʰəu bɑʔ ʦʰᴇ
iq khou de	iəʔ kʰəu dᴇ
iq khou ho	iəʔ kʰəu xo
iq khou shian	iəʔ kʰəu ɕiã
iq khou siau ci	iəʔ kʰəu siæ ʨi
iq khou zyu	iəʔ kʰəu zʮ
iq khue	iəʔ kʰuᴇ
iq khue cioe deu	iəʔ kʰuᴇ ʨiø døʏ
iq khue deu vu	iəʔ kʰuᴇ døʏ vu
iq khue tsoe deu	iəʔ kʰuᴇ ʦø døʏ
iq khue zaq deu	iəʔ kʰuᴇ zɑʔ døʏ
iq khue5[51] yan die23	iəʔ kʰuᴇ51 ɦiã diɪ23
iq koe tsy	iəʔ kø ʦɿ
iq koe tsy4[23]0	iəʔ kø ʦɿ23
iq koq44	iəʔ koʔ44
iq koq44 yan die23	iəʔ koʔ44 ɦiã diɪ23
iq kou	iəʔ kəu
iq kou deu faeq	iəʔ kəu døʏ faʔ
iq kou deu zen	iəʔ kəu døʏ zən
iq kue iq tsyu4[23]40	iəʔ kuᴇ iəʔ ʦʮ23
iq kue poe4[23]0	iəʔ kuᴇ pø23
iq kuoe	iəʔ kuø
iq kuoe piq	iəʔ kuø piəʔ
iq kuoe tshen	iəʔ kuø ʦʰən
iq kuoe tshian	iəʔ kuø ʦʰiã
iq le shin4[23]0	iəʔ lᴇ ɕin23
iq lian keq	iəʔ liã kəʔ
iq lian keq5[51]0	iəʔ liã kəʔ51
iq lian li5[51]0 lou231	iəʔ liã li51 ləu231
iq lian paq keq	iəʔ liã pɑʔ kəʔ
iq lian tshie keq	iəʔ liã ʦʰiɪ kəʔ
iq lian ve keq	iəʔ liã vᴇ kəʔ
iq liq	iəʔ liəʔ
iq liq mi	iəʔ liəʔ mi
iq liq tsyu mo	iəʔ liəʔ ʦʮ mo
iq liq tsyu tsy	iəʔ liəʔ ʦʮ ʦɿ
iq loq tshie zaon	iəʔ loʔ ʦʰiɪ zɑ̃
iq men	iəʔ mən
iq men ghoq ven	iəʔ mən ɦoʔ vən
iq men khou	iəʔ mən kʰəu
iq men tshin zy	iəʔ mən ʦʰin zɿ
iq mi mi	iəʔ mi mi
iq mie	iəʔ miɪ
iq mie cin tsy	iəʔ miɪ ʨin ʦɿ
iq mie ji	iəʔ miɪ ʥi
iq mie khon	iəʔ miɪ kʰoŋ
iq mie khon feq kau shin	iəʔ miɪ kʰoŋ fəʔ kæ ɕin
iq mie lou	iəʔ miɪ ləu
iq miq miq440	iəʔ miəʔ miəʔ44
iq moq zeq ghaon	iəʔ moʔ zəʔ ɦɑ̃
iq naeq44	iəʔ naʔ44
iq naon da soe	iəʔ nɑ̃ dɑ sø
iq nge nge	iəʔ ŋᴇ ŋᴇ
iq nge tsau	iəʔ ŋᴇ ʦæ
iq ou paq in	iəʔ əu pɑʔ in
iq paon	iəʔ pɑ̃
iq paon gnin	iəʔ pɑ̃ ȵin
iq paon jian da	iəʔ pɑ̃ ʥiã dɑ
iq paon siau shion di	iəʔ pɑ̃ siæ ɕioŋ di
iq paq be	iəʔ pɑʔ bᴇ
iq paq fen	iəʔ pɑʔ fən
iq paq gnie	iəʔ pɑʔ ȵiɪ
iq paq gnie gni	iəʔ pɑʔ ȵiɪ ȵi
iq paq lin iq	iəʔ pɑʔ lin iəʔ
iq paq lin lian	iəʔ pɑʔ lin liã
iq paq tou keq	iəʔ pɑʔ təu kəʔ
iq paq tou keq4440	iəʔ pɑʔ təu kəʔ444
iq paq zeq gni	iəʔ pɑʔ zəʔ ȵi
iq paq zeq440	iəʔ pɑʔ zəʔ44
iq paq44	iəʔ pɑʔ44
iq paq44 gnie231	iəʔ pɑʔ44 ȵiɪ231
iq paq44 se44	iəʔ pɑʔ44 sᴇ44
iq paq44 zeq iq34	iəʔ pɑʔ44 zəʔ iəʔ34
iq paq44 zeq keq34	iəʔ pɑʔ44 zəʔ kəʔ34
iq pau	iəʔ pæ
iq pau ng shian deu	iəʔ pæ ŋ ɕiã døʏ
iq pau syu ie	iəʔ pæ sʮ iɪ
iq pe	iəʔ pᴇ
iq pe ho	iəʔ pᴇ xo
iq pen	iəʔ pən
iq pen shi	iəʔ pən ɕi
iq pen syu	iəʔ pən sʮ
iq pen tsan bu	iəʔ pən ʦã bu
iq peq deu	iəʔ pəʔ døʏ
iq peq deu ye	iəʔ pəʔ døʏ ɦiɪ
iq phaq44 iq min5[52] von231	iəʔ pʰɑʔ44 iəʔ min52 voŋ231
iq phau	iəʔ pʰæ
iq phi	iəʔ pʰi
iq phi hou seq	iəʔ pʰi xəu səʔ
iq phie	iəʔ pʰiɪ
iq phie gnioq	iəʔ pʰiɪ ȵioʔ
iq phie hau sin	iəʔ pʰiɪ xæ sin
iq phie kau tsy	iəʔ pʰiɪ kæ ʦɿ
iq phie lau cian	iəʔ pʰiɪ læ ʨiã
iq phie ven tsan	iəʔ pʰiɪ vən ʦã
iq phie yun phie kau	iəʔ pʰiɪ ɦyn pʰiɪ kæ
iq phiq	iəʔ pʰiəʔ
iq phiq pu	iəʔ pʰiəʔ pu
iq phiq44	iəʔ pʰiəʔ44
iq pie	iəʔ piɪ
iq piq	iəʔ piəʔ
iq piq khuoe tsy	iəʔ piəʔ kʰuø ʦɿ
iq piq tsa	iəʔ piəʔ ʦɑ
iq piq tsan	iəʔ piəʔ ʦã
iq po	iəʔ po
iq po beq thi	iəʔ po bəʔ tʰi
iq po deu faeq	iəʔ po døʏ faʔ
iq po diau tseu	iəʔ po diæ ʦøʏ
iq po khue ng	iəʔ po kʰuᴇ ŋ
iq po ko tsy	iəʔ po ko ʦɿ
iq po se	iəʔ po sᴇ
iq po shion bu	iəʔ po ɕioŋ bu
iq po tau	iəʔ po tæ
iq po yaq zy	iəʔ po ɦiɑʔ zɿ
iq poe	iəʔ pø
iq pu	iəʔ pu
iq saeq nge	iəʔ saʔ ŋᴇ
iq san	iəʔ sã
iq san ghe gho	iəʔ sã ɦᴇ ɦo
iq saon	iəʔ sɑ̃
iq saon gha tsy	iəʔ sɑ̃ ɦɑ ʦɿ
iq saon khue ng	iəʔ sɑ̃ kʰuᴇ ŋ
iq saon maeq	iəʔ sɑ̃ maʔ
iq saon seu	iəʔ sɑ̃ søʏ
iq sen	iəʔ sən
iq sen ghoe	iəʔ sən ɦø
iq seu	iəʔ søʏ
iq seu syu	iəʔ søʏ sʮ
iq shie4[23]	iəʔ ɕiɪ23
iq shiq shiq440	iəʔ ɕiəʔ ɕiəʔ44
iq shiq44	iəʔ ɕiəʔ44
iq siau poe	iəʔ siæ pø
iq sin iq i	iəʔ sin iəʔ i
iq siq siq	iəʔ siəʔ siəʔ
iq soe	iəʔ sø
iq soe bon	iəʔ sø boŋ
iq soe men	iəʔ sø mən
iq soe tshaon	iəʔ sø ʦʰɑ̃
iq taon	iəʔ tɑ̃
iq taon syu	iəʔ tɑ̃ sʮ
iq tau	iəʔ tæ
iq tau lian doe	iəʔ tæ liã dø
iq tau tshau tsy	iəʔ tæ ʦʰæ ʦɿ
iq te	iəʔ tᴇ
iq te fen	iəʔ tᴇ fən
iq te fu tshi	iəʔ tᴇ fu ʦʰi
iq te ioe ian	iəʔ tᴇ iø iã
iq te loe tsoe deu	iəʔ tᴇ lø ʦø døʏ
iq te mi	iəʔ tᴇ mi
iq te sy	iəʔ tᴇ sɿ
iq te tsen deu	iəʔ tᴇ ʦən døʏ
iq te tshin tshe	iəʔ tᴇ ʦʰin ʦʰᴇ
iq te zaq sy tsy	iəʔ tᴇ zɑʔ sɿ ʦɿ
iq te5[52] ta la sou440	iəʔ tᴇ52 tɑ lɑ səu44
iq ten	iəʔ tən
iq ten san weq	iəʔ tən sã ɦuəʔ
iq ten ve	iəʔ tən vᴇ
iq teq lian bie	iəʔ təʔ liã biɪ
iq thaeq kuaeq tsy	iəʔ tʰaʔ kuaʔ ʦɿ
iq thaeq kuaeq tsy4440	iəʔ tʰaʔ kuaʔ ʦɿ444
iq thaon	iəʔ tʰɑ̃
iq thau	iəʔ tʰæ
iq thau ghe gho	iəʔ tʰæ ɦᴇ ɦo
iq thau ka san	iəʔ tʰæ kɑ sã
iq thau shi faeq	iəʔ tʰæ ɕi faʔ
iq thie syu ka4[23]40	iəʔ tʰiɪ sʮ kɑ23
iq thiq	iəʔ tʰiəʔ
iq thiq yaq	iəʔ tʰiəʔ ɦiɑʔ
iq thoq	iəʔ tʰoʔ
iq tie tie	iəʔ tiɪ tiɪ
iq tie4[51]	iəʔ tiɪ51
iq tie5[52] khau kou40	iəʔ tiɪ52 kʰæ kəu4
iq tin	iəʔ tin
iq tin jiau	iəʔ tin ʥiæ
iq tin mau tsy	iəʔ tin mæ ʦɿ
iq tin tsan tsy	iəʔ tin ʦã ʦɿ
iq tiq tiq440	iəʔ tiəʔ tiəʔ44
iq toq toq	iəʔ toʔ toʔ
iq toq toq440	iəʔ toʔ toʔ44
iq tou	iəʔ təu
iq tou ho	iəʔ təu xo
iq tou zian deu	iəʔ təu ziã døʏ
iq tsan	iəʔ ʦã
iq tsan gnie gho	iəʔ ʦã ȵiɪ ɦo
iq tsan tshau phiau	iəʔ ʦã ʦʰæ pʰiæ
iq tsan tsy deu	iəʔ ʦã ʦɿ døʏ
iq tsaon	iəʔ ʦɑ̃
iq tsaon zy thi	iəʔ ʦɑ̃ zɿ tʰi
iq tsaq	iəʔ ʦɑʔ
iq tsaq ci	iəʔ ʦɑʔ ʨi
iq tsaq de tsy	iəʔ ʦɑʔ dᴇ ʦɿ
iq tsaq fi ci	iəʔ ʦɑʔ fi ʨi
iq tsaq gha tsy	iəʔ ʦɑʔ ɦɑ ʦɿ
iq tsaq gnieu	iəʔ ʦɑʔ ȵiʏ
iq tsaq le	iəʔ ʦɑʔ lᴇ
iq tsaq mo	iəʔ ʦɑʔ mo
iq tsaq tiau	iəʔ ʦɑʔ tiæ
iq tsaq tsyu	iəʔ ʦɑʔ ʦʮ
iq tsaq zaon	iəʔ ʦɑʔ zɑ̃
iq tsaq zyu	iəʔ ʦɑʔ zʮ
iq tsaq44 yan223	iəʔ ʦɑʔ44 ɦiã223
iq tse	iəʔ ʦᴇ
iq tse ten	iəʔ ʦᴇ tən
iq tsheq	iəʔ ʦʰəʔ
iq tsheq shi	iəʔ ʦʰəʔ ɕi
iq tshie be	iəʔ ʦʰiɪ bᴇ
iq tshie iq paq	iəʔ ʦʰiɪ iəʔ pɑʔ
iq tshie iq4[23]0	iəʔ ʦʰiɪ iəʔ23
iq tshie lian paq	iəʔ ʦʰiɪ liã pɑʔ
iq tshie lin gnie	iəʔ ʦʰiɪ lin ȵiɪ
iq tshie lin lian	iəʔ ʦʰiɪ lin liã
iq tshie tou keq	iəʔ ʦʰiɪ təu kəʔ
iq tshie4[23]	iəʔ ʦʰiɪ23
iq tshie4[23] iq paq keq440	iəʔ ʦʰiɪ23 iəʔ pɑʔ kəʔ44
iq tshoe	iəʔ ʦʰø
iq tshoe beq dau	iəʔ ʦʰø bəʔ dæ
iq tshoe daon se tso	iəʔ ʦʰø dɑ̃ sᴇ ʦo
iq tshoe paq shian	iəʔ ʦʰø pɑʔ ɕiã
iq tshoe tsyu tsy	iəʔ ʦʰø ʦʮ ʦɿ
iq tshoe yaq zy	iəʔ ʦʰø ɦiɑʔ zɿ
iq tshyu iq tshaon, iq taeq iq taon	iəʔ ʦʰʮ iəʔ ʦʰɑ̃, iəʔ taʔ iəʔ tɑ̃
iq tsie saon tiau	iəʔ ʦiɪ sɑ̃ tiæ
iq tsin	iəʔ ʦin
iq tsin vaon tsy	iəʔ ʦin vɑ̃ ʦɿ
iq tsiq	iəʔ ʦiəʔ
iq tsiq hou tsho	iəʔ ʦiəʔ xəu ʦʰo
iq tsiq tsoq deu	iəʔ ʦiəʔ ʦoʔ døʏ
iq tsoe	iəʔ ʦø
iq tson	iəʔ ʦoŋ
iq tson gnin	iəʔ ʦoŋ ȵin
iq tson meq zy	iəʔ ʦoŋ məʔ zɿ
iq tsoq	iəʔ ʦoʔ
iq tsoq mo tsian	iəʔ ʦoʔ mo ʦiã
iq tsoq te440	iəʔ ʦoʔ tᴇ44
iq tsoq tseu	iəʔ ʦoʔ ʦøʏ
iq tsoq tseu sy	iəʔ ʦoʔ ʦøʏ sɿ
iq tsoq tshe	iəʔ ʦoʔ ʦʰᴇ
iq tsyu	iəʔ ʦʮ
