wupin	ipa
baq mo ke	bɑʔ mo kᴇ
baq mo mi	bɑʔ mo mi
baq moq gni340	bɑʔ moʔ ȵi34
baq ne tsan	bɑʔ nᴇ ʦã
baq ng2[51]	bɑʔ ŋ51
baq nge ou tsyu	bɑʔ ŋᴇ əu ʦʮ
baq ou ciu2[51]0	bɑʔ əu ʨy51
baq ou de	bɑʔ əu dᴇ
baq ou de2[51]0	bɑʔ əu dᴇ51
baq seq34	bɑʔ səʔ34
baq shie tshe2[51]0	bɑʔ ɕiɪ ʦʰᴇ51
baq sin se yu	bɑʔ sin sᴇ ɦy
baq syu tson	bɑʔ sʮ ʦoŋ
baq thaeq ho sen daon	bɑʔ tʰaʔ xo sən dɑ̃
baq thie baq thie2[51]10	bɑʔ tʰiɪ bɑʔ tʰiɪ51
baq thin ta2[51]0	bɑʔ tʰin tɑ51
baq thiq	bɑʔ tʰiəʔ
baq tie fon	bɑʔ tiɪ foŋ
baq toq gnioq	bɑʔ toʔ ȵioʔ
baq toq34	bɑʔ toʔ34
baq tse ci	bɑʔ ʦᴇ ʨi
baq tshe2[523]	bɑʔ ʦʰᴇ523
baq tshiq gnioq	bɑʔ ʦʰiəʔ ȵioʔ
baq tsian yeu	bɑʔ ʦiã ɦiʏ
baq tsoq pu340	bɑʔ ʦoʔ pu34
baq tsy	bɑʔ ʦɿ
baq tsyu mo	bɑʔ ʦʮ mo
baq yan zyu	bɑʔ ɦiã zʮ
baq yun	bɑʔ ɦyn
baq zo zoe	bɑʔ zo zø
baq8	bɑʔ23
bau daon	bæ dɑ̃
bau deu	bæ døʏ
bau gha23	bæ ɦɑ23
bau ho	bæ xo
bau ho syu	bæ xo sʮ
bau ie gnioq	bæ iɪ ȵioʔ
bau iq da	bæ iəʔ dɑ
bau ka	bæ kɑ
bau lon thau	bæ loŋ tʰæ
bau ng	bæ ŋ
bau ng40	bæ ŋ4
bau te paon	bæ tᴇ pɑ̃
bau2	bæ223
bau6	bæ231
be ka	bᴇ kɑ
be kau	bᴇ kæ
be khaq	bᴇ kʰɑʔ
be lon23	bᴇ loŋ23
be nge li	bᴇ ŋᴇ li
be syu	bᴇ sʮ
be tseu sy	bᴇ ʦøʏ sɿ
be tsy fen	bᴇ ʦɿ fən
be tsy23	bᴇ ʦɿ23
be zian tshau	bᴇ ziã ʦʰæ
be2	bᴇ223
be223	bᴇ223
be231 tseu syu[52]3	bᴇ231 ʦøʏ sʮ52
be6	bᴇ231
ben deu23	bən døʏ23
ben di	bən di
ben don tie	bən doŋ tiɪ
ben thaon	bən tʰɑ̃
ben tshe	bən ʦʰᴇ
ben tsy23	bən ʦɿ23
ben2	bən223
ben6	bən231
beq dau koe	bəʔ dæ kø
beq dau2[51]	bəʔ dæ51
beq deu don2[51]0	bəʔ døʏ doŋ51
beq deu kuoe2[51]0	bəʔ døʏ kuø51
beq deu2[51]	bəʔ døʏ51
beq deu2[51] tshie44	bəʔ døʏ51 ʦʰiɪ44
beq feq tau	bəʔ fəʔ tæ
beq feq tau340	bəʔ fəʔ tæ34
beq gnin ka2[51]0	bəʔ ȵin kɑ51
beq gnin2[51]	bəʔ ȵin51
beq keq34	bəʔ kəʔ34
beq le	bəʔ lᴇ
beq sian	bəʔ siã
beq sian deu	bəʔ siã døʏ
beq sian gnin2[51]0	bəʔ siã ȵin51
beq sian ka meq zy2[51]110	bəʔ siã kɑ məʔ zɿ51
beq sian2[51]	bəʔ siã51
beq thi koe2[51]0	bəʔ tʰi kø51
