wupin	ipa
ciaq5[52]3	ʨiɑʔ52
ciaq7	ʨiɑʔ43
ciaq[43]	ʨiɑʔ43
ciaq[52]30	ʨiɑʔ52
ciau	ʨiæ
ciau1	ʨiæ44
ciau230	ʨiæ23
ciau3	ʨiæ51
ciau40	ʨiæ4
ciau44	ʨiæ44
ciau440	ʨiæ44
ciau5	ʨiæ523
ciau[23]110	ʨiæ23
ciau[52]30	ʨiæ52
cie	ʨiɪ
cie1	ʨiɪ44
cie23	ʨiɪ23
cie2[51]10	ʨiɪ51
cie3	ʨiɪ51
cie40	ʨiɪ4
cie44	ʨiɪ44
cie5	ʨiɪ523
cie[52]340	ʨiɪ52
cieo3	?
cieu	ʨiʏ
cieu1	ʨiʏ44
cieu3	ʨiʏ51
cieu5	ʨiʏ523
cih	ʨiəʔ
cin	ʨin
cin1	ʨin44
cin23	ʨin23
cin230	ʨin23
cin2340	ʨin234
cin2[51]	ʨin51
cin2[51]0	ʨin51
cin3	ʨin51
cin40	ʨin4
cin44	ʨin44
cin440	ʨin44
cin4[23]0	ʨin23
cin4[523]	ʨin523
cin5	ʨin523
cin523	ʨin523
cin5[52]3	ʨin52
cin[23]1	ʨin23
cin[52]3	ʨin52
cin[52]30	ʨin52
cin[52]340	ʨin52
cioe	ʨiø
cioe1	ʨiø44
cioe3	ʨiø51
cioe5	ʨiø523
cioe[52]3	ʨiø52
cioh	ʨioʔ
cion1	ʨioŋ44
cion3	ʨioŋ51
cion5	ʨioŋ523
cion523	ʨioŋ523
cioq	ʨioʔ
cioq40	ʨioʔ4
cioq7	ʨioʔ43
ciq	ʨiəʔ
ciq23	ʨiəʔ23
ciq2340	ʨiəʔ234
ciq40	ʨiəʔ4
ciq43	ʨiəʔ43
ciq440	ʨiəʔ44
ciq7	ʨiəʔ43
ciq8	ʨiəʔ23
ciq[43]	ʨiəʔ43
ciu	ʨy
ciu1	ʨy44
ciu23	ʨy23
ciu230	ʨy23
ciu231	ʨy231
ciu2[51]0	ʨy51
ciu3	ʨy51
ciu5	ʨy523
ciu[52]30	ʨy52
ciueh	ʨyəʔ
ciun	ʨyn
ciun1	ʨyn44
ciun3	ʨyn51
ciun5	ʨyn523
ciuq	ʨyəʔ
ciuq40	ʨyəʔ4
ciuq440	ʨyəʔ44
ciuq7	ʨyəʔ43
cn	cn
da	dɑ
da223	dɑ223
da230	dɑ23
da231	dɑ231
da340	dɑ34
da6	dɑ231
daeq	daʔ
daeq23	daʔ23
daeq44	daʔ44
daeq440	daʔ44
daeq8	daʔ23
daeq[52]3	daʔ52
daon	dɑ̃
daon2	dɑ̃223
daon23	dɑ̃23
daon230	dɑ̃23
daon231	dɑ̃231
daon2[51]	dɑ̃51
daon2[51]0	dɑ̃51
daon40	dɑ̃4
daon440	dɑ̃44
daon4[23]	dɑ̃23
daon4[23]0	dɑ̃23
daon6	dɑ̃231
daon[52]3	dɑ̃52
daq8	dɑʔ23
dau	dæ
dau2	dæ223
dau223	dæ223
dau23	dæ23
dau230	dæ23
dau231	dæ231
dau2[51]	dæ51
dau440	dæ44
dau4420	dæ442
dau4[23]0	dæ23
dau5[523]	dæ523
dau6	dæ231
dau[52]30	dæ52
de	dᴇ
de2	dᴇ223
de223	dᴇ223
de23	dᴇ23
de230	dᴇ23
de231	dᴇ231
de2[51]0	dᴇ51
de40	dᴇ4
de440	dᴇ44
de4[23]	dᴇ23
de4[23]0	dᴇ23
de4[523]	dᴇ523
de6	dᴇ231
de[23]1	dᴇ23
de[52]1	dᴇ52
de[52]3	dᴇ52
de[52]30	dᴇ52
den	dən
den2	dən223
den23	dən23
den4440	dən444
den6	dən231
deq	dəʔ
deq23	dəʔ23
deq8	dəʔ23
deq[23]	dəʔ23
deu	døʏ
deu2	døʏ223
deu223	døʏ223
deu223dou231	?
deu23	døʏ23
deu230	døʏ23
deu231	døʏ231
deu2340	døʏ234
deu2[51]	døʏ51
deu2[51]0	døʏ51
deu340	døʏ34
deu3420	døʏ342
deu40	døʏ4
deu440	døʏ44
deu4440	døʏ444
deu44440	døʏ4444
deu4[23]	døʏ23
deu4[23]0	døʏ23
deu5[523]	døʏ523
deu6	døʏ231
deu[23]1	døʏ23
deu[23]110	døʏ23
deu[523]440	døʏ523
deu[52]1	døʏ52
deu[52]3	døʏ52
deu[52]30	døʏ52
deu[52]340	døʏ52
di	di
di1	di44
di2	di223
di23	di23
di231	di231
di2340	di234
di40	di4
di6	di231
di[52]1	di52
diau	diæ
diau2	diæ223
diau223	diæ223
diau23	diæ23
diau230	diæ23
diau251	diæ251
diau440	diæ44
diau6	diæ231
diau[23]1	diæ23
die	diɪ
die2	diɪ223
die223	diɪ223
die23	diɪ23
die230	diɪ23
die2340	diɪ234
die40	diɪ4
die440	diɪ44
die6	diɪ231
die8	diɪ23
die[52]1	diɪ52
die[52]3	diɪ52
die[52]340	diɪ52
din	din
din2	din223
din231	din231
din40	din4
din6	din231
din[52]1	din52
diq	diəʔ
diq23	diəʔ23
diq2[51]0	diəʔ51
diq8	diəʔ23
doe	dø
doe2	dø223
doe23	dø23
doe230	dø23
doe231	dø231
doe2340	dø234
doe440	dø44
doe6	dø231
doe[23]10	dø23
doe[52]3	dø52
don	doŋ
don2	doŋ223
don223	doŋ223
don23	doŋ23
don230	doŋ23
don2[51]	doŋ51
don2[51]0	doŋ51
don340	doŋ34
don40	doŋ4
don4[23]	doŋ23
don4[51]	doŋ51
don5[51]	doŋ51
don6	doŋ231
don[52]30	doŋ52
doq	doʔ
doq340	doʔ34
doq8	doʔ23
dou	dəu
dou2	dəu223
dou23	dəu23
dou230	dəu23
dou231	dəu231
dou2340	dəu234
dou23440	dəu2344
dou2[51]	dəu51
dou40	dəu4
dou5[23]40	dəu23
dou6	dəu231
dou[23]1	dəu23
due	duᴇ
due23	duᴇ23
dzaon	dzɑ̃
e	ᴇ
e1	ᴇ44
e3	ᴇ51
e5	ᴇ523
en	ən
en1	ən44
eq	əʔ
eq7	əʔ43
er	əl
er1	əl44
er4[23]	əl23
er6	əl231
eu	øʏ
eu1	øʏ44
eu3	øʏ51
eu5	øʏ523
eu51	øʏ51
faeh	faʔ
faeq	faʔ
faeq23	faʔ23
faeq340	faʔ34
faeq40	faʔ4
faeq7	faʔ43
faeq[43]	faʔ43
faon	fɑ̃
faon1	fɑ̃44
faon23	fɑ̃23
faon3	fɑ̃51
faon4420	fɑ̃442
faon5	fɑ̃523
faon52	fɑ̃52
faon523	fɑ̃523
fe	fᴇ
fe1	fᴇ44
fe23	fᴇ23
fe3	fᴇ51
fe40	fᴇ4
fe440	fᴇ44
fe5	fᴇ523
fe523	fᴇ523
fe[52]1	fᴇ52
fen	fən
fen1	fən44
fen23	fən23
fen230	fən23
fen2[51]	fən51
fen3	fən51
fen40	fən4
fen44	fən44
fen4[23]0	fən23
fen4[51]	fən51
fen5	fən523
fen51	fən51
fen[52]3	fən52
feq	fəʔ
feq43	fəʔ43
feq7	fəʔ43
feu1	føʏ44
feu3	føʏ51
fhe5	fhᴇ523
fi	fi
fi1	fi44
fi3	fi51
fi5	fi523
fi523	fi523
fiau	fiæ
fiau5	fiæ523
foh	foʔ
fon	foŋ
fon1	foŋ44
fon23	foŋ23
fon230	foŋ23
fon3	foŋ51
fon40	foŋ4
fon44	foŋ44
fon440	foŋ44
foq	foʔ
foq34	foʔ34
foq4440	foʔ444
foq7	foʔ43
foq[52]3	foʔ52
fu	fu
fu1	fu44
fu23	fu23
fu3	fu51
fu40	fu4
fu440	fu44
fu4[23]	fu23
fu5	fu523
fu51	fu51
fu[52]3	fu52
ga	gɑ
ga2	gɑ223
ga23	gɑ23
ga231	gɑ231
ga40	gɑ4
ga6	gɑ231
gaeq	gaʔ
gaeq8	gaʔ23
gaeq[23]	gaʔ23
gan	gã
gaon	gɑ̃
gaon2	gɑ̃223
gaon231	gɑ̃231
gaon6	gɑ̃231
gau	gæ
ge	gᴇ
ge2	gᴇ223
ge231	gᴇ231
ge6	gᴇ231
gen	gən
gen5[51]0	gən51
gen6	gən231
geq	gəʔ
geq7	gəʔ43
geq8	gəʔ23
geq[52]10	gəʔ52
gha	ɦɑ
gha2	ɦɑ223
gha223	ɦɑ223
gha23	ɦɑ23
gha23420	ɦɑ2342
gha40	ɦɑ4
gha4[23]	ɦɑ23
gha[52]3	ɦɑ52
ghaeq	ɦaʔ
ghaeq23	ɦaʔ23
ghaeq8	ɦaʔ23
ghah23	ɦɑʔ23
ghan	ɦã
ghan2	ɦã223
ghan6	ɦã231
ghaon	ɦɑ̃
ghaon2	ɦɑ̃223
ghaon223	ɦɑ̃223
ghaon23	ɦɑ̃23
ghaon6	ɦɑ̃231
ghau	ɦæ
ghau2	ɦæ223
ghau2[523]	ɦæ523
ghau6	ɦæ231
ghe	ɦᴇ
ghe2	ɦᴇ223
ghe223	ɦᴇ223
ghe6	ɦᴇ231
ghen2	ɦən223
ghen231	ɦən231
ghen6	ɦən231
gheq	ɦəʔ
gheq7	ɦəʔ43
gheq8	ɦəʔ23
gheu	ɦøʏ
gheu2	ɦøʏ223
gheu2[51]10	ɦøʏ51
gheu40	ɦøʏ4
gheu4440	ɦøʏ444
gheu6	ɦøʏ231
ghin6	ɦin231
gho	ɦo
gho2	ɦo223
gho224	ɦo224
gho23	ɦo23
gho230	ɦo23
gho40	ɦo4
gho440	ɦo44
gho4440	ɦo444
gho5[51]0	ɦo51
gho6	ɦo231
gho[52]30	ɦo52
gho[52]340	ɦo52
ghoan2	ɦɑ̃223
